degree,null_rc_coefficient,network_rc_coefficient,normalized_rc_coefficient
0.0,0.04429351838181013,0.04429351838181013,1.0
1.0,0.050018438432398005,0.05003520064366891,1.0003351206434317
2.0,0.05465872905994739,0.05470487793622225,1.0008443093549477
3.0,0.05814402375649592,0.058292501855976245,1.0025536261491317
4.0,0.06436504750434899,0.0647107364289219,1.0053707553707556
5.0,0.0674769092670021,0.06796116504854369,1.007176614738316
6.0,0.07183224651579082,0.07252269530750544,1.009611961552154
7.0,0.07683824042663093,0.0777317083385685,1.0116279069767442
8.0,0.08056759131043313,0.08168431083515731,1.0138606542228794
9.0,0.0831141750050575,0.08434353651514916,1.0147912375959558
10.0,0.08815851922164214,0.08973489728117161,1.0178811766967892
11.0,0.09172645699591807,0.09361457265648883,1.0205841991766322
12.0,0.09761323730730313,0.10029164930658889,1.0274390243902438
13.0,0.09992579767499382,0.10283205540440267,1.0290841584158414
14.0,0.10393610701634727,0.1071483575718906,1.0309060118543607
15.0,0.11153137908724431,0.11541332802468521,1.034805890227577
16.0,0.11681210945916828,0.12133699633699634,1.038736453769887
17.0,0.12112570572646618,0.12633944002765296,1.0430439952437576
18.0,0.1262021101117301,0.13245775108151006,1.0495684340320592
19.0,0.1318572934734551,0.1395095738530082,1.0580345628062935
20.0,0.13867871259175607,0.14876717485413138,1.0727470141150923
21.0,0.14471410941999177,0.1574249280131633,1.087833996588971
22.0,0.15013860323705625,0.16516140570508808,1.1000595592614653
23.0,0.15703659918230628,0.17541007832126496,1.1170012547051442
24.0,0.1622242401581112,0.18423161155921158,1.1356601909779387
25.0,0.16838128451031678,0.19337401918047079,1.1484294097342076
26.0,0.17059989191136732,0.19582057286975318,1.1478352692713834
27.0,0.17362375243236458,0.20074069424392693,1.1561822125813448
28.0,0.18036895231465366,0.21232161503654717,1.1771516788884602
29.0,0.18828616352201258,0.2244496855345912,1.1920668058455115
30.0,0.1959731543624161,0.23883668903803132,1.2187214611872146
31.0,0.20808209034169048,0.26055220564900033,1.2521606507371632
32.0,0.21790213178294573,0.28379360465116277,1.3023902167871038
33.0,0.22357723577235772,0.2980592709152898,1.3331378299120233
34.0,0.22557918981167863,0.30605608996070993,1.3567567567567569
35.0,0.23033463711429814,0.3163841807909605,1.3735849056603775
36.0,0.23412513584847072,0.32727837292345907,1.3978779840848807
37.0,0.2398912674142032,0.3421678559293238,1.4263456090651558
38.0,0.24074074074074073,0.34735202492211836,1.4428468727534147
39.0,0.242461646975842,0.34879210015870216,1.4385454545454546
40.0,0.24709689701123166,0.3639824861983628,1.473035439137134
41.0,0.2515151515151515,0.3709090909090909,1.4746987951807229
42.0,0.2545103092783505,0.38359106529209624,1.5071729957805908
43.0,0.26455566905005107,0.41394279877425944,1.5646718146718146
44.0,0.2641456582633053,0.43109243697478994,1.6320254506892895
45.0,0.27037037037037037,0.45401234567901233,1.6792237442922373
46.0,0.2723141837065888,0.45796819214540735,1.6817640047675804
47.0,0.2781981981981982,0.4781981981981982,1.7189119170984457
48.0,0.28695652173913044,0.4910973084886128,1.7113997113997113
49.0,0.29044289044289046,0.5146853146853146,1.77207062600321
50.0,0.29811507936507936,0.5148809523809523,1.7271214642262893
51.0,0.29984135378106824,0.5293495505023796,1.7654320987654317
52.0,0.30391583869082406,0.5371127995324372,1.7673076923076925
53.0,0.3103896103896104,0.5512987012987013,1.7761506276150627
54.0,0.32220609579100146,0.5544267053701016,1.720720720720721
55.0,0.31673469387755104,0.590204081632653,1.86340206185567
56.0,0.3167220376522702,0.6434108527131783,2.0314685314685317
57.0,0.3243589743589744,0.6717948717948717,2.071146245059288
58.0,0.326984126984127,0.7,2.140776699029126
59.0,0.3310924369747899,0.7008403361344537,2.116751269035533
60.0,0.3371212121212121,0.7064393939393939,2.095505617977528
61.0,0.3448275862068966,0.7586206896551724,2.1999999999999997
62.0,0.34057971014492755,0.8260869565217391,2.4255319148936167
63.0,0.341991341991342,0.8268398268398268,2.4177215189873418
64.0,0.3631578947368421,0.8947368421052632,2.463768115942029
65.0,0.3684210526315789,0.8947368421052632,2.428571428571429
66.0,0.3660130718954248,0.9150326797385621,2.5
67.0,0.36764705882352944,0.9191176470588235,2.4999999999999996
68.0,0.3523809523809524,0.9714285714285714,2.7567567567567566
69.0,0.3523809523809524,0.9714285714285714,2.7567567567567566
70.0,0.3939393939393939,0.9696969696969697,2.4615384615384617
71.0,0.36363636363636365,0.9818181818181818,2.6999999999999997
72.0,0.36363636363636365,0.9818181818181818,2.6999999999999997
73.0,0.3333333333333333,0.9722222222222222,2.916666666666667
74.0,0.32142857142857145,1.0,3.1111111111111107
75.0,0.23809523809523808,1.0,4.2
76.0,0.23809523809523808,1.0,4.2
77.0,0.13333333333333333,1.0,7.5
78.0,0.13333333333333333,1.0,7.5
0.0,0.04429351838181013,0.04429351838181013,1.0
1.0,0.050018438432398005,0.05003520064366891,1.0003351206434317
2.0,0.05465872905994739,0.05470487793622225,1.0008443093549477
3.0,0.05816382083642663,0.058292501855976245,1.002212389380531
4.0,0.06438735001561176,0.0647107364289219,1.005022514721164
5.0,0.06748872038362506,0.06796116504854369,1.0070003500175009
6.0,0.0718706047819972,0.07252269530750544,1.0090731186621598
7.0,0.07685220086275495,0.0777317083385685,1.0114441416893734
8.0,0.08053781212310716,0.08168431083515731,1.0142355333703088
9.0,0.08306749039075022,0.08434353651514916,1.0153615586361933
10.0,0.08809071801478066,0.08973489728117161,1.0186646142005003
11.0,0.09160058261854669,0.09361457265648883,1.021986650961916
12.0,0.09751403686288515,0.10029164930658889,1.0284842319430314
13.0,0.09982273889026301,0.10283205540440267,1.030146603345034
14.0,0.10380409671954413,0.1071483575718906,1.0322170411191183
15.0,0.11153137908724431,0.11541332802468521,1.034805890227577
16.0,0.1165158371040724,0.12133699633699634,1.0413777161349977
17.0,0.12069362829819104,0.12633944002765296,1.0467780429594273
18.0,0.12573527123338832,0.13245775108151006,1.0534653465346533
19.0,0.13121110090807062,0.1395095738530082,1.0632452047693104
20.0,0.13766233766233765,0.14876717485413138,1.08066721356303
21.0,0.14339777869189635,0.1574249280131633,1.0978198508318988
22.0,0.1492443888044353,0.16516140570508808,1.1066506890353505
23.0,0.1558051327520812,0.17541007832126496,1.1258299083148908
24.0,0.16110250520805514,0.18423161155921158,1.1435676392572944
25.0,0.16710258645742518,0.19337401918047079,1.1572173913043478
26.0,0.16957905482495647,0.19582057286975318,1.1547450424929178
27.0,0.1724938798568828,0.20074069424392693,1.1637554585152838
28.0,0.178698224852071,0.21232161503654717,1.1881573821581612
29.0,0.1865566037735849,0.2244496855345912,1.203118415507796
30.0,0.19480984340044744,0.23883668903803132,1.2259990813045474
31.0,0.20607214640854754,0.26055220564900033,1.2643737166324436
32.0,0.2159641472868217,0.28379360465116277,1.3140773976444193
33.0,0.22174141096249672,0.2980592709152898,1.344175044352454
34.0,0.22395339384907195,0.30605608996070993,1.366606170598911
35.0,0.2277270751847023,0.3163841807909605,1.3893129770992367
36.0,0.23226207110697097,0.32727837292345907,1.409090909090909
37.0,0.23802242609582058,0.3421678559293238,1.4375446109921484
38.0,0.23918310834198683,0.34735202492211836,1.4522431259044863
39.0,0.24034561805678012,0.34879210015870216,1.4512105649303007
40.0,0.2459546925566343,0.3639824861983628,1.479876160990712
41.0,0.24888888888888888,0.3709090909090909,1.4902597402597404
42.0,0.25171821305841924,0.38359106529209624,1.5238907849829353
43.0,0.2635342185903984,0.41394279877425944,1.570736434108527
44.0,0.26974789915966385,0.43109243697478994,1.5981308411214954
45.0,0.279320987654321,0.45401234567901233,1.6254143646408838
46.0,0.28205128205128205,0.45796819214540735,1.6237054085155351
47.0,0.2882882882882883,0.4781981981981982,1.65875
48.0,0.2981366459627329,0.4910973084886128,1.6472222222222221
49.0,0.30116550116550117,0.5146853146853146,1.7089783281733744
50.0,0.3060515873015873,0.5148809523809523,1.6823338735818474
51.0,0.30988894764674774,0.5293495505023796,1.7081911262798635
52.0,0.31326709526592633,0.5371127995324372,1.7145522388059704
53.0,0.32142857142857145,0.5512987012987013,1.715151515151515
54.0,0.32075471698113206,0.5544267053701016,1.728506787330317
55.0,0.3273469387755102,0.590204081632653,1.8029925187032418
56.0,0.3477297895902547,0.6434108527131783,1.8503184713375798
57.0,0.3525641025641026,0.6717948717948717,1.905454545454545
58.0,0.3619047619047619,0.7,1.9342105263157894
59.0,0.3680672268907563,0.7008403361344537,1.9041095890410957
60.0,0.36363636363636365,0.7064393939393939,1.9427083333333333
61.0,0.37471264367816093,0.7586206896551724,2.0245398773006134
62.0,0.35144927536231885,0.8260869565217391,2.350515463917526
63.0,0.33766233766233766,0.8268398268398268,2.4487179487179485
64.0,0.3526315789473684,0.8947368421052632,2.537313432835821
65.0,0.3567251461988304,0.8947368421052632,2.5081967213114758
66.0,0.3464052287581699,0.9150326797385621,2.641509433962264
67.0,0.375,0.9191176470588235,2.4509803921568625
68.0,0.3619047619047619,0.9714285714285714,2.6842105263157894
69.0,0.3619047619047619,0.9714285714285714,2.6842105263157894
70.0,0.36363636363636365,0.9696969696969697,2.6666666666666665
71.0,0.32727272727272727,0.9818181818181818,3.0
72.0,0.32727272727272727,0.9818181818181818,3.0
73.0,0.3611111111111111,0.9722222222222222,2.6923076923076925
74.0,0.39285714285714285,1.0,2.5454545454545454
75.0,0.42857142857142855,1.0,2.3333333333333335
76.0,0.42857142857142855,1.0,2.3333333333333335
77.0,0.4,1.0,2.5
78.0,0.4,1.0,2.5
0.0,0.04429351838181013,0.04429351838181013,1.0
1.0,0.050018438432398005,0.05003520064366891,1.0003351206434317
