degree,null_rc_coefficient,network_rc_coefficient,normalized_rc_coefficient
0.0,0.04328973095432212,0.04328973095432212,1.0
1.0,0.04900181488203267,0.049018239153821516,1.0003351768057651
2.0,0.05435112258870886,0.054415454319875746,1.0011836320595198
3.0,0.0606505029071884,0.06084812931007583,1.003258446235637
4.0,0.06731469945226733,0.06772608664989774,1.0061114021302602
5.0,0.07183929979899753,0.07238633183217566,1.007614662652736
6.0,0.07803769964444945,0.07889835769512953,1.0110287470620143
7.0,0.08307188442172603,0.08438805650357356,1.0158437730287397
8.0,0.0873679901760131,0.08903806794924274,1.0191154422788606
9.0,0.09273276474769013,0.09484719260838664,1.022801302931596
10.0,0.09970229293586483,0.10238362808304252,1.0268934150682223
11.0,0.10459410296543847,0.10806294682516181,1.033164812942366
12.0,0.10921293471629043,0.11364201297087204,1.0405545210014484
13.0,0.11406310491676346,0.11904761904761904,1.0436996181586762
14.0,0.11817716333845366,0.12398873527905786,1.0491767764298094
15.0,0.12457376041142601,0.13214824752641288,1.0608032308727844
16.0,0.1309581712062257,0.13968263618677043,1.0666202414113277
17.0,0.1375145180023229,0.1473701675792268,1.071669884169884
18.0,0.1426798567528277,0.15321065134914724,1.073807157057654
19.0,0.14581175077697203,0.15739233387598048,1.0794214666328343
20.0,0.15266836343069526,0.1660808790853634,1.0878539296110084
21.0,0.1599344494640801,0.17663211976260076,1.1044032124065355
22.0,0.1654274212645039,0.18437130002367985,1.1145147437732608
23.0,0.17212736502076603,0.19376506178536634,1.1257074769139113
24.0,0.17966903073286053,0.20505459867161996,1.1412907268170427
25.0,0.18565964422318013,0.21407321959808148,1.1530412034009156
26.0,0.1872129112352576,0.21675977653631284,1.1578249336870026
27.0,0.20027415049419234,0.2359137147391963,1.1779538904899136
28.0,0.2078616352201258,0.24716981132075472,1.1891074130105899
29.0,0.21620227038183695,0.2608359133126935,1.2064439140811456
30.0,0.22595785440613028,0.2793103448275862,1.2361169987282747
31.0,0.23550880206097038,0.2970158866466295,1.2611668185961715
32.0,0.24173027989821882,0.3092759657645154,1.2794258373205742
33.0,0.2472190976127984,0.3230846144231971,1.306875631951466
34.0,0.2566115702479339,0.3428374655647383,1.3360171765968867
35.0,0.26666666666666666,0.36003051106025935,1.3501144164759726
36.0,0.27155727155727155,0.37033462033462033,1.363744075829384
37.0,0.28808812546676626,0.3997386109036595,1.3875567077122488
38.0,0.2961616161616162,0.4177777777777778,1.4106412005457025
39.0,0.2961616161616162,0.4177777777777778,1.4106412005457025
40.0,0.3046052631578947,0.4328947368421053,1.4211663066954645
41.0,0.30902290790088827,0.4485741000467508,1.451588502269289
42.0,0.30902290790088827,0.4485741000467508,1.451588502269289
43.0,0.3153558052434457,0.45767790262172287,1.4513064133016627
44.0,0.32717086834733894,0.48935574229691875,1.4957191780821917
45.0,0.3357594936708861,0.5208860759493671,1.5513666352497644
46.0,0.34385964912280703,0.535438596491228,1.557142857142857
47.0,0.3508371385083714,0.5578386605783866,1.5900216919739696
48.0,0.35805626598465473,0.5865302642796248,1.638095238095238
49.0,0.36092265943012214,0.5920398009950248,1.6403508771929822
50.0,0.36875,0.6076923076923076,1.647979139504563
51.0,0.37202380952380953,0.6111111111111112,1.6426666666666667
52.0,0.3869082407948568,0.6569257744009351,1.6978851963746224
53.0,0.3877797943133696,0.6594071385359952,1.700468018720749
54.0,0.3877797943133696,0.6594071385359952,1.700468018720749
55.0,0.39832285115303984,0.6974143955276031,1.7508771929824563
56.0,0.4079939668174962,0.7066365007541479,1.7319778188539743
57.0,0.4117647058823529,0.7074509803921568,1.7180952380952381
58.0,0.4163265306122449,0.7338775510204082,1.7627450980392159
59.0,0.4163265306122449,0.7338775510204082,1.7627450980392159
60.0,0.42021276595744683,0.7562056737588653,1.7995780590717299
61.0,0.4292929292929293,0.7848484848484848,1.828235294117647
62.0,0.4312896405919662,0.7832980972515856,1.8161764705882353
63.0,0.45519203413940257,0.813655761024182,1.7874999999999999
64.0,0.45714285714285713,0.8539682539682539,1.8680555555555556
65.0,0.4678030303030303,0.8901515151515151,1.902834008097166
66.0,0.5147783251231527,0.9236453201970444,1.7942583732057418
67.0,0.5147783251231527,0.9236453201970444,1.7942583732057418
68.0,0.5270655270655271,0.9259259259259259,1.7567567567567566
69.0,0.5415384615384615,0.9292307692307692,1.7159090909090908
70.0,0.55,0.93,1.690909090909091
71.0,0.5471014492753623,0.9311594202898551,1.7019867549668874
72.0,0.5736842105263158,0.9789473684210527,1.7064220183486238
73.0,0.5736842105263158,0.9789473684210527,1.7064220183486238
74.0,0.5789473684210527,0.9766081871345029,1.6868686868686869
75.0,0.6102941176470589,0.9779411764705882,1.6024096385542166
76.0,0.6166666666666667,0.975,1.581081081081081
77.0,0.638095238095238,0.9809523809523809,1.537313432835821
78.0,0.638095238095238,0.9809523809523809,1.537313432835821
79.0,0.638095238095238,0.9809523809523809,1.537313432835821
80.0,0.6593406593406593,0.989010989010989,1.5
81.0,0.6515151515151515,0.9848484848484849,1.5116279069767442
82.0,0.6888888888888889,1.0,1.4516129032258065
83.0,0.7222222222222222,1.0,1.3846153846153846
84.0,0.7222222222222222,1.0,1.3846153846153846
85.0,0.7142857142857143,1.0,1.4
86.0,0.7142857142857143,1.0,1.4
87.0,0.7142857142857143,1.0,1.4
88.0,0.7333333333333333,1.0,1.3636363636363638
89.0,0.7333333333333333,1.0,1.3636363636363638
90.0,0.8,1.0,1.25
91.0,1.0,1.0,1.0
92.0,1.0,1.0,1.0
93.0,1.0,1.0,1.0
94.0,1.0,1.0,1.0
