degree,null_rc_coefficient,network_rc_coefficient,normalized_rc_coefficient
0.0,0.047523623201032844,0.047523623201032844,1.0
1.0,0.05413963616567618,0.05414870934083382,1.0001675884028824
2.0,0.06090496804782519,0.061028653885796744,1.0020308004738534
3.0,0.0661689854088904,0.06638389322474833,1.0032478632478632
4.0,0.07163682832719197,0.07202143893996353,1.0053688950467614
5.0,0.07697510822510822,0.07754329004329004,1.0073813708260104
6.0,0.08100550606820606,0.081682954250627,1.0083629893238433
7.0,0.08825328354365182,0.08937998969868659,1.0127667335400328
8.0,0.09258973435543894,0.09403028588088011,1.0155584367475459
9.0,0.09927324209532798,0.10134969325153374,1.0209165240540028
10.0,0.10469872407968905,0.10722207525284386,1.0241010689990282
11.0,0.11570870404368498,0.12020430259379561,1.038852725793328
12.0,0.12114787612629666,0.12647333484768178,1.0439583333333333
13.0,0.1297165856112695,0.1360892168371625,1.0491273432449901
14.0,0.13984566158479203,0.14834682225986573,1.060789591745177
15.0,0.14269983158440214,0.15199507708252363,1.0651384475714933
16.0,0.14988924440068915,0.16131640940895187,1.0762373915083274
17.0,0.15762659924921474,0.1713782272274573,1.0872417982989064
18.0,0.16533831465338314,0.18169364881693648,1.0989204117499372
19.0,0.16890611541774334,0.18630490956072351,1.103008669046405
20.0,0.17309862333559017,0.1924170616113744,1.1116036505867013
21.0,0.18321608040201004,0.20683417085427136,1.1289083927591883
22.0,0.19131762652705062,0.21896815008726003,1.1445267958950969
23.0,0.20010691375623663,0.233071988595866,1.1647373107747108
24.0,0.20724191063174113,0.2443502824858757,1.1790582403965304
25.0,0.2173147365455058,0.2588052972668357,1.1909238249594811
26.0,0.22347748017357474,0.26986383360766125,1.207566119852695
27.0,0.23248407643312102,0.2824595786379226,1.2149631190727082
28.0,0.24006622516556292,0.2958347856395957,1.2323049001814883
29.0,0.24971264367816093,0.31226053639846746,1.2504794783275797
30.0,0.2602348460806093,0.3309002433090024,1.2715447154471544
31.0,0.26805650489861016,0.3459785828206881,1.290692732681683
32.0,0.27483042635658916,0.3605862403100775,1.3120317320405464
33.0,0.2844195655071305,0.3782487005197921,1.3298969072164948
34.0,0.2884297520661157,0.384297520661157,1.332378223495702
35.0,0.29436476894104013,0.39605968419527743,1.345472440944882
36.0,0.30925470925470927,0.42407862407862407,1.3712923728813557
37.0,0.3168753306295186,0.4445424087462529,1.402893711741792
38.0,0.32161172161172163,0.45054945054945056,1.400911161731207
39.0,0.32393577296489917,0.4544436146377894,1.4028818443804034
40.0,0.33539476396619256,0.4780457637600495,1.4253226797787337
41.0,0.33539476396619256,0.4780457637600495,1.4253226797787337
42.0,0.3426651735722284,0.49854423292273237,1.4549019607843139
43.0,0.3509157509157509,0.5174603174603175,1.4745998608211555
44.0,0.3603314621758888,0.5348837209302325,1.4844213649851632
45.0,0.3696738172200999,0.562151043197179,1.5206677265500796
46.0,0.371875940981632,0.5657934357121349,1.5214574898785427
47.0,0.3810451152223304,0.590392729633236,1.549403747870528
48.0,0.38721804511278196,0.6107313738892687,1.5772285966460724
49.0,0.3935135135135135,0.6237837837837837,1.585164835164835
50.0,0.4056338028169014,0.6543259557344064,1.6130952380952381
51.0,0.41091219096334186,0.6649616368286445,1.6182572614107884
52.0,0.4206241519674355,0.681592039800995,1.6204301075268819
53.0,0.4280753968253968,0.6969246031746031,1.6280417149478563
54.0,0.43010752688172044,0.7040450588837686,1.6369047619047619
55.0,0.4331041776837652,0.7102062400846113,1.6398046398046398
56.0,0.4349726775956284,0.7191256830601093,1.6532663316582914
57.0,0.44101633393829404,0.7320024198427102,1.6598079561042522
58.0,0.44155844155844154,0.7558441558441559,1.711764705882353
59.0,0.4493361285814116,0.7728860936408106,1.7200622083981338
60.0,0.4627450980392157,0.7780392156862745,1.6813559322033897
61.0,0.4627450980392157,0.7780392156862745,1.6813559322033897
62.0,0.4716312056737589,0.7934397163120568,1.6823308270676691
63.0,0.47733580018501387,0.7974098057354302,1.6705426356589148
64.0,0.4818181818181818,0.8373737373737373,1.7379454926624738
65.0,0.4818181818181818,0.8373737373737373,1.7379454926624738
66.0,0.4951219512195122,0.8609756097560975,1.7389162561576355
67.0,0.49743589743589745,0.8974358974358975,1.8041237113402062
68.0,0.503003003003003,0.9204204204204204,1.8298507462686564
69.0,0.5111111111111111,0.926984126984127,1.8136645962732922
70.0,0.5111111111111111,0.926984126984127,1.8136645962732922
71.0,0.5126050420168067,0.934453781512605,1.8229508196721314
72.0,0.5151515151515151,0.9340463458110517,1.8131487889273357
73.0,0.5311827956989247,0.9526881720430107,1.793522267206478
74.0,0.5311827956989247,0.9526881720430107,1.793522267206478
75.0,0.5149425287356322,0.9563218390804598,1.8571428571428572
76.0,0.5370370370370371,0.9603174603174603,1.7881773399014778
77.0,0.5370370370370371,0.9603174603174603,1.7881773399014778
78.0,0.5441595441595442,0.9572649572649573,1.7591623036649215
79.0,0.5384615384615384,0.9753846153846154,1.8114285714285716
80.0,0.5434782608695652,0.9927536231884058,1.8266666666666667
81.0,0.5627705627705628,0.9913419913419913,1.7615384615384613
82.0,0.6029411764705882,0.9926470588235294,1.6463414634146343
83.0,0.6029411764705882,0.9926470588235294,1.6463414634146343
84.0,0.6029411764705882,0.9926470588235294,1.6463414634146343
85.0,0.5934065934065934,0.989010989010989,1.6666666666666667
86.0,0.5934065934065934,0.989010989010989,1.6666666666666667
87.0,0.6410256410256411,1.0,1.5599999999999998
88.0,0.6410256410256411,1.0,1.5599999999999998
89.0,0.6181818181818182,1.0,1.6176470588235294
90.0,0.6111111111111112,1.0,1.6363636363636362
91.0,0.6111111111111112,1.0,1.6363636363636362
92.0,0.6111111111111112,1.0,1.6363636363636362
93.0,0.6071428571428571,1.0,1.647058823529412
94.0,0.6190476190476191,1.0,1.6153846153846154
95.0,0.6190476190476191,1.0,1.6153846153846154
96.0,0.5333333333333333,1.0,1.875
97.0,0.5333333333333333,1.0,1.875
98.0,0.5333333333333333,1.0,1.875
99.0,0.6666666666666666,1.0,1.5
0.0,0.047523623201032844,0.047523623201032844,1.0
1.0,0.05413963616567618,0.05414870934083382,1.0001675884028824
2.0,0.06091527520098949,0.061028653885796744,1.0018612521150592
3.0,0.06618029634656714,0.06638389322474833,1.0030763971970602
4.0,0.07168645550303346,0.07202143893996353,1.0046728971962617
5.0,0.07702922077922078,0.07754329004329004,1.0066736916051984
6.0,0.08110640260601343,0.081682954250627,1.0071085836147147
7.0,0.0883659541591553,0.08937998969868659,1.0114754098360657
8.0,0.09269263089297045,0.09403028588088011,1.0144310823311748
9.0,0.09959414818310523,0.10134969325153374,1.0176269901440487
10.0,0.10508536659815633,0.10722207525284386,1.0203330751355537
11.0,0.11620298451254531,0.12020430259379561,1.0344338667206807
12.0,0.12193028949294565,0.12647333484768178,1.037259366590768
13.0,0.13044328917211695,0.1360892168371625,1.043282622669809
14.0,0.14059853190287974,0.14834682225986573,1.0551093261936635
15.0,0.14337997149889883,0.15199507708252363,1.0600858369098711
16.0,0.15066277557047925,0.16131640940895187,1.0707117852975496
17.0,0.15846931739829925,0.1713782272274573,1.0814599951655788
18.0,0.16608551266085514,0.18169364881693648,1.0939765058735316
19.0,0.16950904392764857,0.18630490956072351,1.0990853658536586
20.0,0.17400135409614081,0.1924170616113744,1.1058365758754864
21.0,0.18452261306532663,0.20683417085427136,1.1209150326797386
22.0,0.1925719895287958,0.21896815008726003,1.1370716510903427
23.0,0.201176051318603,0.233071988595866,1.158547387068202
24.0,0.2089111453518233,0.2443502824858757,1.169637369391518
25.0,0.2182304874612567,0.2588052972668357,1.1859264041316977
26.0,0.22474936405805776,0.26986383360766125,1.2007323568575234
27.0,0.2333823289237302,0.2824595786379226,1.2102869139258223
28.0,0.24032764029278494,0.2958347856395957,1.2309644670050761
29.0,0.25038314176245213,0.31226053639846746,1.2471308339709257
30.0,0.2613984978313763,0.3309002433090024,1.2658842573856737
31.0,0.27056277056277056,0.3459785828206881,1.2787368421052632
32.0,0.27858527131782945,0.3605862403100775,1.2943478260869565
33.0,0.2892176462748234,0.3782487005197921,1.3078341013824886
34.0,0.2928374655647383,0.384297520661157,1.3123236124176858
35.0,0.2985658409387223,0.39605968419527743,1.3265405143134401
36.0,0.31351351351351353,0.42407862407862407,1.3526645768025076
37.0,0.322870745900194,0.4445424087462529,1.3768432550518843
38.0,0.3263736263736264,0.45054945054945056,1.3804713804713804
39.0,0.3284167289021658,0.4544436146377894,1.3837407617964752
40.0,0.3403421974850546,0.4780457637600495,1.4046032707450031
41.0,0.3403421974850546,0.4780457637600495,1.4046032707450031
42.0,0.3471444568868981,0.49854423292273237,1.4361290322580644
43.0,0.3557997557997558,0.5174603174603175,1.4543582704186686
44.0,0.36728147554129914,0.5348837209302325,1.4563318777292573
45.0,0.3805465765501029,0.562151043197179,1.4772200772200772
46.0,0.38271604938271603,0.5657934357121349,1.4783634933123526
47.0,0.3898085037325544,0.590392729633236,1.514571190674438
48.0,0.39747095010252903,0.6107313738892687,1.536543422184007
49.0,0.4036036036036036,0.6237837837837837,1.5455357142857142
50.0,0.41448692152917505,0.6543259557344064,1.5786407766990291
51.0,0.4215686274509804,0.6649616368286445,1.577350859453994
52.0,0.4260515603799186,0.681592039800995,1.599787685774947
53.0,0.43353174603174605,0.6969246031746031,1.6075514874141874
54.0,0.434715821812596,0.7040450588837686,1.619552414605418
55.0,0.4378635642517187,0.7102062400846113,1.6219806763285023
56.0,0.44098360655737706,0.7191256830601093,1.630731102850062
57.0,0.455535390199637,0.7320024198427102,1.6069057104913678
58.0,0.4623376623376623,0.7558441558441559,1.6348314606741574
59.0,0.469601677148847,0.7728860936408106,1.6458333333333333
60.0,0.47058823529411764,0.7780392156862745,1.6533333333333333
61.0,0.47058823529411764,0.7780392156862745,1.6533333333333333
