degree,null_rc_coefficient,network_rc_coefficient,normalized_rc_coefficient
0.0,0.04677596650840798,0.04677596650840798,1.0
1.0,0.0530135465245392,0.05304019542527204,1.0005026809651474
2.0,0.05693116818303966,0.05698875196744597,1.0010114632501685
3.0,0.060171802702675095,0.06026373042705535,1.0015277542013241
4.0,0.06485570275212989,0.06507872786475757,1.00343878954608
5.0,0.07199726592661038,0.07240231383618344,1.0056258790436006
6.0,0.07722061058157204,0.07781461527835336,1.0076923076923077
7.0,0.0835922315238518,0.08449518678930534,1.0108019040644454
8.0,0.08789193614408514,0.08903806794924274,1.0130402384500745
9.0,0.09339019189765459,0.09481165600568586,1.0152207001522071
10.0,0.10053035231955205,0.10269907927682814,1.0215728574230243
11.0,0.10449942582733061,0.1071719386157219,1.0255744255744257
12.0,0.11209398435141975,0.11594808571892921,1.0343827671913837
13.0,0.11718011247698204,0.12210720151296471,1.042047143767254
14.0,0.12144927536231884,0.12714097496706192,1.0468648296810588
15.0,0.1288421908106696,0.13633065335384437,1.0581211984681234
16.0,0.1338273892234059,0.1419484329164737,1.0606829718504847
17.0,0.14203902472480368,0.15208669112856213,1.070738773539353
18.0,0.14825366286813674,0.16079621133639188,1.0846019465934615
19.0,0.15299901671583088,0.167905604719764,1.0974293059125964
20.0,0.16059431524547804,0.17730404823428078,1.1040493429873959
21.0,0.1647483638004965,0.1819905213270142,1.1046575342465752
22.0,0.17028880517724332,0.18946199169322903,1.1125921724333523
23.0,0.1745596670219786,0.19613217603167352,1.1235824367548706
24.0,0.1795660621761658,0.20428540587219343,1.1376615569582207
25.0,0.18375241779497098,0.20901126408010012,1.1374613003095975
26.0,0.18654524089306698,0.21233842538190364,1.1382677165354331
27.0,0.193106075033327,0.21938678346981527,1.136094674556213
28.0,0.19821212528565668,0.22503024600080657,1.1353001017293998
29.0,0.2006265227984685,0.22923773059519667,1.142609299097849
30.0,0.20408908360715589,0.23446513326031398,1.1488372093023256
31.0,0.20749942489072923,0.23878536922015184,1.1507760532150777
32.0,0.21149763187979748,0.2460395231095868,1.1633204633204632
33.0,0.21415839062897887,0.25065783889313303,1.1704320253666272
34.0,0.21825503355704698,0.25512304250559287,1.1689216892168923
35.0,0.224367182113661,0.26632522407170295,1.1870061457418788
36.0,0.2297683275150746,0.2732465883846398,1.1892265193370164
37.0,0.23364381102008752,0.28111323083828976,1.203170028818444
38.0,0.247527435306869,0.30131418506977375,1.217296113847838
39.0,0.25675057208237984,0.3151792524790236,1.22756981580511
40.0,0.26138448707256046,0.3292743953294412,1.259731971920868
41.0,0.26904761904761904,0.3468864468864469,1.2893124574540504
42.0,0.27595959595959596,0.3595959595959596,1.3030746705710101
43.0,0.2800687285223368,0.3696305841924399,1.3197852760736197
44.0,0.28506062685884237,0.37886067261496226,1.3290529695024078
45.0,0.29806687565308254,0.40177638453500525,1.3479404031551272
46.0,0.3026741110784602,0.42227446370849253,1.395145631067961
47.0,0.3116883116883117,0.45288045288045287,1.452991452991453
48.0,0.31305536568694464,0.4613807245386193,1.4737991266375545
49.0,0.3234398782343988,0.4942922374429224,1.5282352941176471
50.0,0.32864450127877237,0.5059676044330775,1.5395590142671853
51.0,0.33514246947082765,0.5205789235639982,1.553306342780027
52.0,0.3430619559651818,0.5550435227854583,1.617910447761194
