id,Label,Network,Hemisphere,Region,Parcel ID,x,y,degree_centrality,r,eigenvector_centrality,closeness_centrality,region_name,network_name
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851146,-44.8448841968708,0.1343804537521815,0.0044353213872267,0.1086714966086434,0.3356568927834242,Visual cortex,Visual
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,0.0104712041884816,0.0,0.0077409044595834,0.2574365156553627,Visual cortex,Visual
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.59200800673188,-41.29417978183737,0.1448516579406631,0.0079116799490487,0.1101021234185188,0.3454260113047329,Visual cortex,Visual
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,0.0017452006980802,0.0,1.7317514344024522e-18,0.0031413612565445,Visual cortex,Visual
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,0.0331588132635253,0.0105873349168685,0.0054330163439071,0.3110691230835632,Visual cortex,Visual
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,0.0069808027923211,3.735411146999409e-06,0.0037984462738768,0.2454246315738823,Visual cortex,Visual
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,0.0,0.0,1.2697614341876269e-23,0.0,Visual cortex,Visual
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,0.0523560209424083,0.0077300379371412,0.0238775202061098,0.3245938675654572,Visual cortex,Visual
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,0.0,0.0,1.2697614341876269e-23,0.0,Visual cortex,Visual
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,0.0296684118673647,0.0017539675950711,0.0123393456938105,0.2951982494568508,Visual cortex,Visual
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,0.0418848167539267,0.0212115104922889,0.0029143442357166,0.3033229719189659,Visual cortex,Visual
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,0.0017452006980802,0.0,5.200942834432519e-20,0.0017452006980802,Visual cortex,Visual
