Graph_ID,Vis,SomMot,DorsAttn_Post,DorsAttn_FEF,DorsAttn_PrCv,SalVentAttn_ParOper,SalVentAttn_TempOcc,SalVentAttn_FrOperIns,SalVentAttn_PFCl,SalVentAttn_Med,Limbic_OFC,Limbic_TempPole,Cont_Par,Cont_Temp,Cont_PFCd,Cont_OFC,Cont_PFCl,Cont_PFCv,Cont_pCun,Cont_Cing,Cont_PFCmp,Default_Temp,Default_Par,Default_PFC,Default_pCunPCC,Default_PHC,SalVentAttn_TempOccPar,SalVentAttn_PrC,Default_PFCv,Default_PFCdPFCm
blues,0.02213115671488777,0.011283709756335997,0.04418432823241116,0.0012792361535468749,0.004652678663724241,0.01589709974879312,0.0742199875711483,0.01020583385671454,0.0008936618675270667,0.008381013646983449,6.429624158385067e-06,0.009263606472858479,0.0741515885643342,0.017961668546809133,7.238142429437504e-05,0.0107853290538001,0.012949326142440485,0.008388836329918303,0.056798286200403274,0.000366085824005784,0.008598426757783434,0.007118620409977273,0.04345422910630351,0.006847864242320672,0.02691687549190497,0.0028106385578489,0.07967979228496958,0.0009904520668983,0.021170236303167528,0.01255246934920566
classical,0.02452254699633993,0.012189569754705433,0.040913408323605245,4.604860771060733e-05,0.01555859157372658,0.004077735309309725,0.0284988318760141,0.0055801294443687125,2.156372806259435e-06,0.013445567170529629,7.186177697862221e-06,0.006174141131352868,0.06957483821133845,0.016802684387135353,4.616699351693279e-05,0.000502754478642,0.003253999418316897,0.0007741540117419827,0.04808869862900124,0.0004930394478254375,0.008162583536616577,0.00544013700459466,0.03983329140280324,0.0007118576047717782,0.04382849147164682,0.0092030385630455,0.06588071615107771,9.753788688393824e-06,0.009473340140396516,0.00441692330527922
country,0.024676890176425242,0.014813441118252847,0.04492835820392753,0.006312450395670738,0.0007121542750269733,0.008211379484133951,0.0700917039128518,0.004970207918589624,0.0005367115913556667,0.015216427036795903,3.942631062449417e-05,0.011175850649540894,0.06284163095907308,0.010994027490733605,0.0037860047611235,0.0038634445621348,0.0063667556028806785,0.0004794116699760559,0.05483924431505085,0.005456915394143327,0.0040395763907257205,0.0059126856878854005,0.03468034266928829,0.0025838611714810215,0.05331362422187229,0.0177714413470917,0.03956665200135135,0.0003555967926268,0.0107351761859449,0.010237550655881078
disco,0.0158735131145913,0.01682290992274369,0.04103250511571099,0.009153073167770722,0.01113459339244663,0.008364578313790215,0.0535928179800093,0.005044525524585689,3.733784999121281e-05,0.014356918560761026,3.565639346685835e-05,0.006718130941775796,0.0704439496910245,0.012779721758036934,0.01776109582159255,0.0020227646234278,0.009405983995422237,0.0009568624212842647,0.037894164694015846,0.005126731895672019,0.009369308210202761,0.006556355622112293,0.02404256978988085,0.0017953252231913128,0.04309991779847794,0.0081603723256002,0.08290784209178062,0.001024696657591,0.011185606003974035,0.009506271599453511
hiphop,0.018464519636192153,0.015416971380258044,0.04077562833472411,0.005591611798928151,0.0055777338258518275,0.004808485128082167,0.0523312266127406,0.008980585829855042,0.0010060986731234667,0.02399636613265109,1.3037151147384286e-05,0.007226292647365026,0.06470266580658564,0.01746615570662902,0.0008172566436601224,0.0021827141349176,0.012049704443109979,5.899645029196649e-05,0.04663545010745957,0.008828601225632195,0.0084689254340682,0.006322771202199506,0.025208799298026694,0.0038847971864484298,0.046648738304085925,0.0020782561629606,0.07320980376535834,0.0040393496444972,0.01757172109263216,0.020387774409823412
jazz,0.014366738827399049,0.014769949569915017,0.041368117120123185,0.004653070295436319,0.00474083872971572,0.006727819513821149,0.0341559026753474,0.012614113714959385,0.0001319445111965,0.013651728636918102,0.0013256696039436664,0.0064192966524439675,0.06668908829386262,0.01658646922327309,0.0016271866558987,0.0127010292287558,0.012253359001207284,0.008407392870550466,0.06514500619338645,0.0021663144415325847,0.0066675754414471195,0.010488196841215758,0.0286963609237867,0.008031463969469584,0.0343108412249527,0.0047211796135843,0.07866801034193521,0.0048654865381707,0.021412274148102536,0.013953753525167789
metal,0.029507310808718386,0.014544394645732147,0.03745130044283057,0.001768368719070911,0.0030326036340631,0.0037270635914290174,0.0333423135010968,0.010015971018080088,0.0003190833575169439,0.01740342366145488,7.549195190554182e-05,0.009651616280044328,0.05716487158082485,0.020420697250594814,0.000577785911691,0.0047084526555009,0.00697884191561367,0.00704409038054036,0.05845495921996086,0.004848506949018188,0.006131262008889681,0.010949591657894197,0.028053029725436926,0.0033554388872807186,0.04951829915834929,0.0333899348008145,0.07151725114327633,0.0010995625868952,0.011665635325419532,0.009898013543817467
null,0.02794872437487836,0.027199431932968875,0.049222703589418305,0.019848522915689337,0.012967302844994779,0.03720219664396059,0.0567423565133484,0.020716993509841127,0.008716117680781532,0.018621658721757892,0.005211078294751318,0.02094988912278496,0.06479210921237083,0.020810072093291266,0.00380094724060265,0.0277603405513058,0.024131640378114435,0.018944142342779767,0.05522739075386212,0.0066236476800841,0.0155621655048005,0.015238168351151082,0.03670737852281712,0.022753067598358278,0.0333404225137134,0.0139652938828468,0.06475597299976728,0.0205400921739414,0.03171024399759507,0.02126775325924863
pop,0.01701840490975748,0.015740623289467844,0.04101754768723781,0.0015122265278487285,0.007179966404022936,0.019046157723977716,0.0799346023539951,0.0024916478756019725,0.007645134905740667,0.021995168323962287,0.0001656566702830973,0.006550902229077915,0.0781980116178906,0.010308751030391814,0.00223200102853025,2.650368165452937e-06,0.0063100483049897006,0.0001664745001270462,0.050778980828722724,0.013575770948271027,0.0031759740710556998,0.004864475051308418,0.03396303584535794,0.0013655205998909716,0.053556059818791364,0.0365869037845484,0.045435806341484114,0.0006213565498239,0.0008777179579316372,0.0022995324350990553
reggae,0.029787245449703962,0.010048810594391827,0.04054536242826075,0.0013107023068182734,0.00598110524769282,0.005711829089779779,0.0682493118826178,0.009643462489424987,0.0001502298988005968,0.009060526618082744,6.960461736404284e-07,0.00920529177790867,0.05833133983004225,0.019918184007938065,0.0033749563841517,0.0034284953015452,0.010965622208480647,0.0023469407382834665,0.0476553961343157,0.01237386600826109,0.00896954148569364,0.008460186917806816,0.02880283423139,0.00209831317144142,0.04484924676344619,0.0182895459233733,0.07525576830731344,0.0001637281256132,0.007889516551789372,0.018308223857483055
