Graph_ID,Vis,SomMot,DorsAttn,SalVentAttn,Limbic,Cont,Default
blues,0.03405868237347291,0.03194340563450506,0.056682152250325656,0.037533768438164875,0.01795063575168283,0.0405014259566679,0.03342730567861453
classical,0.038230802792321085,0.03077474445275488,0.050905783742595134,0.03234598006167965,0.026302667663924167,0.034861448090920656,0.03930728956906963
country,0.035094895287958075,0.03630640737970576,0.05134822898999577,0.03375648473547055,0.021815008726003456,0.03269058868599152,0.037870855148342014
disco,0.026314354275741667,0.04071615557217646,0.048693557505591976,0.03722297927275331,0.020526884401229913,0.037543097944068404,0.03525305410122159
hiphop,0.03201352530541009,0.0328004238344552,0.05159403190521834,0.038705204523177654,0.021773456328430106,0.03779849316817772,0.0362867498993153
jazz,0.026014397905759126,0.041947145350286666,0.04151611238109279,0.033947739606493055,0.02933599268677799,0.03577661431064568,0.038367566116257176
metal,0.03896705933682369,0.03479493891797552,0.040287097804979924,0.036505773506418954,0.025097648134297317,0.033392925552292126,0.04026043764263655
null,0.03405868237347291,0.03194340563450506,0.056682152250325656,0.037533768438164875,0.01795063575168283,0.0405014259566679,0.03342730567861453
pop,0.028932155322862092,0.03585452505609569,0.04254848462502761,0.034449783642927105,0.03157982215573834,0.0372451368492742,0.03968317895019461
reggae,0.045375218150087215,0.028141361256544456,0.04889019983777004,0.035979822611107076,0.018698578908002948,0.0369897416251649,0.03823331990871253
rock,0.03937609075043626,0.029325604587384643,0.04987341149866032,0.038466135934399535,0.024017285797390465,0.03401013067722295,0.03839441535776609
