Graph_ID,Vis,SomMot,DorsAttn_Post,DorsAttn_FEF,DorsAttn_PrCv,SalVentAttn_ParOper,SalVentAttn_TempOcc,SalVentAttn_FrOperIns,SalVentAttn_PFCl,SalVentAttn_Med,Limbic_OFC,Limbic_TempPole,Cont_Par,Cont_Temp,Cont_PFCd,Cont_OFC,Cont_PFCl,Cont_PFCv,Cont_pCun,Cont_Cing,Cont_PFCmp,Default_Temp,Default_Par,Default_PFC,Default_pCunPCC,Default_PHC,SalVentAttn_TempOccPar,SalVentAttn_PrC,Default_PFCv,Default_PFCdPFCm
blues,0.03405868237347291,0.03194340563450506,0.06454233616176201,0.02508726003490399,0.01605584642233852,0.045375218150087215,0.0698080279232111,0.025874497306320618,0.010471204188481666,0.02229978669769242,0.005954214146391501,0.02610820244328094,0.08803567965871627,0.026178010471204133,0.0043630017452006495,0.031413612565445,0.029071369523284603,0.02210587550901683,0.0728621291448516,0.007417102966841125,0.01919720767888302,0.01942484255254567,0.048782514751101104,0.026298369140037255,0.04289815909474746,0.0174520069808027,0.09540430482838859,0.0244328097731239,0.03897614892379285,0.027923211169284416
classical,0.038230802792321085,0.03077474445275488,0.05671902268760902,0.02334205933682369,0.027574171029668366,0.0238510762070971,0.0244328097731239,0.02215646103649741,0.0034904013961605004,0.02527309159071807,0.0146802176367929,0.03420593368237343,0.08347876672483998,0.029668411867364696,0.030541012216404848,0.0122164048865619,0.017314227978322726,0.025014543339150635,0.07111692844677132,0.00741710296684115,0.0233856893542757,0.033614083010850546,0.05235602094240834,0.021604381055545473,0.06479761301581935,0.0383944153577661,0.08129726585223963,0.0157068062827225,0.03926701570680625,0.017268301644162716
country,0.035094895287958075,0.03630640737970576,0.05647830534994279,0.0397033158813263,0.0104712041884816,0.02763234438627102,0.0610820244328097,0.021549434706730354,0.006980802792321067,0.035938206967875336,0.010265886459295733,0.029668411867364707,0.07106845064960245,0.0250145433391506,0.0279232111692844,0.0157068062827225,0.019243134013043034,0.009889470622454868,0.07068062827225127,0.015924956369982486,0.0167539267015706,0.023294635404810634,0.04238344552480675,0.02082204970813019,0.07239768057197542,0.0261780104712041,0.060209424083769586,0.0279232111692844,0.034904013961605536,0.021769082391843435
disco,0.026314354275741667,0.04071615557217646,0.0505506409099115,0.04821116928446765,0.027923211169284416,0.045375218150087195,0.0471204188481675,0.022156461036497405,0.004653868528214,0.03160752375412056,0.010984498511446424,0.027015706806282683,0.07378320729106065,0.01861547411285627,0.04188481675392665,0.0174520069808027,0.027601726830164364,0.009889470622454866,0.05235602094240835,0.024869109947643936,0.02129144851657938,0.023522270278473284,0.03074877420427154,0.02112294638021299,0.06778134324156951,0.0506108202443281,0.08362420011634669,0.0174520069808027,0.03170447934845836,0.023238725084963666
hiphop,0.03201352530541009,0.0328004238344552,0.057832340374315415,0.027705061082024387,0.01745200698080274,0.023560209424083736,0.0610820244328097,0.020183625464754485,0.011052937754508399,0.040204253118738244,0.009341956677959094,0.030226876090750393,0.07814620903626138,0.024432809773123867,0.00698080279232105,0.0087260034904013,0.027326168825204326,0.007562536358347801,0.06500872600349038,0.022469458987783523,0.019197207678883037,0.02003186888231272,0.0350702235518989,0.017452006980802747,0.07251027416539994,0.0122164048865619,0.08347876672483999,0.0383944153577661,0.030250145433391468,0.03012767520896478
jazz,0.026014397905759126,0.041947145350286666,0.044502617801047084,0.0333769633507853,0.019895287958115137,0.03723094822571258,0.0209424083769633,0.03376583959329232,0.005817335660267534,0.025014543339150624,0.017965301303767545,0.0370680628272251,0.05216210975373274,0.0151250727166957,0.019197207678883,0.0418848167539267,0.030311380545604793,0.053519488074461864,0.0789703315881326,0.01592495636998251,0.02268760907504356,0.03968434630852108,0.028920468711044596,0.0376120840103508,0.054382705624049954,0.0453752181500872,0.060354857475276275,0.0401396160558464,0.03664921465968582,0.022412051070083542
metal,0.03896705933682369,0.03479493891797552,0.04381055545525663,0.022033158813263464,0.028621291448516523,0.0264688772542175,0.0261780104712041,0.026329767053645904,0.019197207678883034,0.03471010277292994,0.013961605584642212,0.03267015706806278,0.05953073492340503,0.018615474112856235,0.0165794066317626,0.0209424083769633,0.026545421144484205,0.018615474112856266,0.06631762652705055,0.017670157068062776,0.0171029668411867,0.028378480916609713,0.03008393584309809,0.02696034181861944,0.07870292180374931,0.0837696335078534,0.07053519488074458,0.0331588132635253,0.0369400814426992,0.02222834573344351
null,0.03405868237347291,0.03194340563450506,0.06454233616176201,0.02508726003490399,0.01605584642233852,0.045375218150087215,0.0698080279232111,0.025874497306320618,0.010471204188481666,0.02229978669769242,0.005954214146391501,0.02610820244328094,0.08803567965871627,0.026178010471204133,0.0043630017452006495,0.031413612565445,0.029071369523284603,0.02210587550901683,0.0728621291448516,0.007417102966841125,0.01919720767888302,0.01942484255254567,0.048782514751101104,0.026298369140037255,0.04289815909474746,0.0174520069808027,0.09540430482838859,0.0244328097731239,0.03897614892379285,0.027923211169284416
pop,0.028932155322862092,0.03585452505609569,0.047692122525124836,0.02094240837696331,0.01745200698080274,0.03752181500872597,0.0663176265270506,0.024129296608240335,0.016870273414775965,0.03697239997414513,0.0200184785956267,0.039441535776614266,0.07853403141361252,0.017452006980802733,0.03141361256544495,0.0087260034904013,0.020391292367043207,0.020360674810936532,0.07198952879581144,0.04057591623036645,0.01361256544502612,0.03702860611579023,0.04088755921216651,0.021604381055545487,0.07577548837471143,0.0785340314136125,0.050319953461314654,0.0157068062827225,0.026468877254217534,0.012400110223201932
reggae,0.045375218150087215,0.028141361256544456,0.056538484684359354,0.013089005235602039,0.017452006980802758,0.023560209424083715,0.0663176265270506,0.02822672433416794,0.006399069226294333,0.023010794389502886,0.007596755979878818,0.026247818499127364,0.07707969749854564,0.025596276905177368,0.009598603839441451,0.0226876090750436,0.025259483788003998,0.010471204188481666,0.06675392670157063,0.023996509598603777,0.0153577661431064,0.02291524394870623,0.04055514003157979,0.014503219594391234,0.0754940043911501,0.0488656195462478,0.09249563699825475,0.019197207678883,0.02937754508435132,0.03187287590704505
