Graph_ID,Vis,SomMot,DorsAttn_Post,DorsAttn_FEF,DorsAttn_PrCv,SalVentAttn_ParOper,SalVentAttn_TempOcc,SalVentAttn_FrOperIns,SalVentAttn_PFCl,SalVentAttn_Med,Limbic_OFC,Limbic_TempPole,Cont_Par,Cont_Temp,Cont_PFCd,Cont_OFC,Cont_PFCl,Cont_PFCv,Cont_pCun,Cont_Cing,Cont_PFCmp,Default_Temp,Default_Par,Default_PFC,Default_pCunPCC,Default_PHC,SalVentAttn_TempOccPar,SalVentAttn_PrC,Default_PFCv,Default_PFCdPFCm
blues,0.002749871420345216,0.002871465049301765,0.004015909992385393,0.003380391032281772,0.00041319798261369817,0.005096322566688016,0.0002873244380225,0.0036530009170725043,0.0038570883550993335,0.0016828558876920193,0.0017554047469254353,0.004196725857108578,0.00327998267466215,0.0011694523347963333,0.00149196353384835,0.000845066105336,0.001985950380407314,0.000598738045942,0.0050791804231687995,0.0005044495626637126,0.00066097107026548,0.0026537754207682602,0.000947129292571419,0.0026869695285643906,0.00312029684120996,0.0010711569486038,0.0065340446117337575,0.0010226514651113,0.0021824148323570654,0.0025748642813623462
classical,0.003761613723425364,0.0035307487407064964,0.002974189827044488,0.002036252498283242,0.0038588107872274,0.00580276142019365,0.0,0.00369199083581427,0.0011990105115489,0.0017647902102506995,0.0016210531143481923,0.0031707814688594943,0.003939278070042657,0.0009435271184457334,0.00428314815642295,0.0045721005274461,0.002848918795835869,0.0030309161958424,0.0042308027312626,0.0015257455343873625,0.0019735623953748,0.00485283640837253,0.0028248835302932896,0.0030561230903140206,0.00420028246805328,0.0066299211136857,0.003565772179993224,0.0042612500820657,0.005277710052395431,0.001102134091972871
country,0.00315360546094129,0.003751981512194668,0.0045394528694095,0.003068974148106126,0.0011583449589648448,0.0033292247992442333,0.0002640841462377,0.004618746757446941,0.00129449925244703,0.0021952270163936175,0.001746439752526006,0.00475983184161166,0.0046029765741031695,0.0010904004143114001,0.0016570013271071666,0.0011699777561406,0.0029701141539532345,0.002597907257427467,0.0032407723552512462,0.00034735713617405696,0.0004913107811293018,0.0038962248378188688,0.0024738719589282717,0.003333983101854631,0.004210514702533534,0.0003330940781077,0.0029831658562839082,0.0049688868976601,0.003139526576744517,0.001956478710979311
disco,0.002683814637761818,0.003398631854585448,0.003482336761899257,0.002876931253903242,0.00390954395724045,0.0038179392896937666,0.0003443482184993,0.0033500126977153983,0.0020784690331943664,0.0017710167315690573,0.002628611238841348,0.0033562944789062277,0.004043560304420272,0.0012044716388314837,0.0006984348605712999,0.0007628953206433,0.002408212353831054,0.0002592659667478,0.0025965676418560754,0.0015908762810242349,0.00074572718896832,0.003567644940506695,0.002346102697683924,0.002661556581120141,0.005098151122795989,0.0061954561030841,0.004451445762575331,0.0001220475406915,0.0029349766757642997,0.0028447455853947
hiphop,0.003274457474600108,0.00338615975466569,0.0038259109856796274,0.004544592724392009,0.0014120693917847765,0.00401941840403905,0.0034075235394516,0.002168540726199788,0.00041989484119506665,0.001655289174277945,0.0023256061748425155,0.0046965054968885036,0.0031102096585355777,0.00023989059337353334,1.6200376085548694e-05,0.0023173803821854,0.0023692166526747467,0.0005165168212071,0.003083715010120938,0.00040069684603605,0.0011722606772589825,0.0036850636951841886,0.0016477452057334409,0.002084846174927016,0.0036687672221586134,0.0001549247229356,0.0025670728033974416,0.0069343404982535,0.0025585181514452666,0.0019291755628799913
jazz,0.002458095037246965,0.003269100754143144,0.003203862302465859,0.002868558359781369,0.0006898890655637599,0.0034671839081894837,7.548924597572951e-05,0.002741242443201269,1.8360358194970453e-05,0.0016454652416220345,0.002317596510653853,0.002500782341518428,0.0033994069213947775,0.00031974769285336664,0.0009779765155883001,0.0042617058570825,0.002652060710599653,0.0038257596914511665,0.0068993806054651755,0.00034306176830984156,0.0012812541270942922,0.004731104389094507,0.002269838313657243,0.003128590734454976,0.004123822896810792,0.0105304891056485,0.005896520717135132,0.0038530359238723,0.003077301761733117,0.00171640330321942
metal,0.0035164072369129307,0.0031386572744611916,0.0032685171862623687,0.0020657224298342774,0.0016660636421278001,0.0021372890934864,2.06033469322491e-05,0.0035540880203300384,0.004667338872187433,0.002257646772593203,0.0018427129829913505,0.00294490657981499,0.0030822821808119665,0.0002725213784692,0.0005270977144039417,0.000892673423837,0.0025848559227060826,0.0011179257789611,0.0027125904809875245,0.00020262505405835448,0.00136239084987544,0.0025391645838640352,0.002019340637983219,0.0032802080343103247,0.005670166984949089,0.0083191660433402,0.003975699722977659,0.00161328407372,0.004419469088514383,0.0017378173306656576
null,0.002101782711646463,0.0012019587149017731,0.00435195322201565,0.000645323921031291,0.0007811337015820089,0.0023960959869216564,0.0027426003508571,0.0008931382161553491,4.997878832751568e-05,0.000539085711882538,3.442247880332787e-05,0.001222069753215908,0.006885822404555782,0.0007827324933769882,6.859860946688441e-06,0.0002515815339053,0.001056593210974801,0.0006575596234991,0.006408275495919214,3.2007920687757065e-05,0.0006699822646499172,0.0007638497227423865,0.0030255999987867754,0.0009708486194969202,0.0025021666937915777,0.0002186984022808,0.007389708760522165,0.0002302206032556,0.0010568608837786594,0.0010700478575759538
pop,0.004001045694329129,0.003301862199280129,0.00318945842498625,0.001121106725353753,0.00169653030278576,0.003794839879790466,0.0008553401331561,0.003598972777363207,0.0005483797742713666,0.002502099142120138,0.0013341553446037636,0.0025801732111806765,0.004264644012944923,0.0012059949057359456,0.0014062226925969,0.0016819478064928,0.0021299728009873497,0.0002579850166994654,0.00421732065770955,0.0022396874250527497,0.0005949843762729394,0.004313086593890995,0.0019120807374182626,0.00337320825048886,0.005229149064218266,0.0109347843587345,0.0017183227454278997,0.0008365643891216,0.0037962918150745164,0.001709945201745838
reggae,0.003959108884033441,0.003107657302240301,0.0036923999607551324,0.0021005844471555877,0.0003449115057397572,0.002132437274663817,0.0001696176313925,0.00411453806162077,0.002629677429487233,0.0028678338986424822,0.0004628256375933468,0.002966819508721305,0.004436495282042566,0.0003277718350866334,0.0001536593437998,0.0035769806551264,0.0027472616460601923,0.0010882504998879334,0.005141974325019075,0.0009949620917830125,0.004749076222738819,0.0036132052467725932,0.0018654536162067813,0.0023254981251984055,0.004137806278426495,0.0079371667545809,0.003450739532470808,0.0055917835100689,0.0031069618848713503,0.002817693540349448
