Graph_ID,Vis,SomMot,DorsAttn,SalVentAttn,Limbic,Cont,Default
blues,0.002749871420345216,0.002871465049301765,0.003690590108868668,0.0034427923530098237,0.003208572074415401,0.0020889822007311787,0.0024512764270475124
classical,0.003761613723425364,0.0035307487407064964,0.002930803998464553,0.002986701934223151,0.0025435104682239675,0.002966154066618421,0.003453929591023295
country,0.00315360546094129,0.003751981512194668,0.0041356589352876645,0.003156056338849569,0.0035401255198388953,0.0027983575612889693,0.003270148439898717
disco,0.002683814637761818,0.003398631854585448,0.0034442070705293674,0.002847870295173414,0.0030617560245942525,0.002410842067611323,0.0034185176786334258
hiphop,0.003274457474600108,0.00338615975466569,0.003736900365119412,0.0022067421511560753,0.0037368557712984607,0.002097984734493247,0.0026593215891982007
jazz,0.002458095037246965,0.003269100754143144,0.0029890412077336562,0.0027811109043371996,0.0024266356956922906,0.002650854876010688,0.0033588893005655446
metal,0.0035164072369129307,0.0031386572744611916,0.003020142175387755,0.0029981989397461946,0.0024987806001482787,0.002184233307904591,0.0033812512170155046
null,0.002101782711646463,0.0012019587149017731,0.0036828386866629313,0.0019352511172505854,0.0007413553802393875,0.002413665848511,0.0016439899543803282
pop,0.004001045694329129,0.003301862199280129,0.002851268929098047,0.0026994384491173546,0.00207583264613764,0.0024920804334408,0.0035806372421736316
reggae,0.003959108884033441,0.003107657302240301,0.003277301842672411,0.003286572906139458,0.001953298179931417,0.0029836365746675328,0.003062344632373351
rock,0.0031557341431528393,0.003942856604137187,0.004370630969557593,0.002847503157530902,0.0038880929580512313,0.0027667225949099114,0.003379641425579399
