Graph_ID,Vis,SomMot,DorsAttn,SalVentAttn,Limbic,Cont,Default
blues,0.02213115671488777,0.011283709756335997,0.03656603267643442,0.021787028470219304,0.005516653938860822,0.02670607999129148,0.019058517368845895
classical,0.02452254699633993,0.012189569754705433,0.034523084922527064,0.01828662125036565,0.003677992697730604,0.020322398745660164,0.019160876914843906
country,0.024676890176425242,0.014813441118252847,0.0374634528220887,0.015360052719474196,0.006668250321884256,0.020757951513491104,0.022066378866553157
disco,0.0158735131145913,0.01682290992274369,0.035334969704445586,0.02196536974490002,0.004013319815079322,0.02370256402514044,0.01769034766815774
hiphop,0.018464519636192153,0.015416971380258044,0.03433250713992511,0.02494812038215954,0.004306641613181695,0.02412737408115803,0.02098811404037089
jazz,0.014366738827399049,0.014769949569915017,0.034651824633510055,0.023048240446220707,0.004357590466146226,0.02522215411793256,0.019528590625507866
metal,0.029507310808718386,0.014544394645732147,0.03100683652967684,0.022140113612377492,0.0057755659567500575,0.02055714964801088,0.021267501831473648
null,0.02794872437487836,0.027199431932968875,0.043359739517419026,0.02853412731238924,0.014579418073342768,0.03158042378673014,0.02633106883944062
pop,0.01701840490975748,0.015740623289467844,0.03418331563524927,0.019372266191075946,0.00396639807432763,0.024522443109570236,0.020080684296238473
reggae,0.029787245449703962,0.010048810594391827,0.03369045303566386,0.020173120272275087,0.0054796220769683015,0.022903558087845832,0.020493111139489747
rock,0.025194720107222936,0.012452829853810313,0.03195206830386169,0.023936907515459325,0.006391784725888137,0.021583571441770182,0.01947639697899771
