Node1,Node2,Correlation
1,2,0.6336871731943815
1,3,0.5857114533197202
1,13,0.509140059721546
1,20,0.5897083566508731
1,25,0.6541187790917714
1,26,0.5137151439597044
1,29,0.6530678973074214
1,94,0.6310750135166007
1,173,0.6348958456696753
1,227,0.6684326772700518
1,230,0.7405046498653242
1,231,0.5266087804008569
1,273,0.6322339280127182
1,286,0.6569847147536954
1,288,0.6191850689799091
1,291,0.6566930450627222
1,298,0.5352969393666785
1,306,0.6468756051332764
1,307,0.6390838073119725
1,310,0.596231485497212
1,313,0.5111446372568714
1,375,0.5492176555429761
1,392,0.5210463622245186
1,398,0.5586193986830502
1,413,0.5705306672874627
1,414,0.5585704505406883
1,416,0.529537691386592
1,467,0.5242576135149747
1,478,0.5299733938498125
1,479,0.5557168472406643
1,518,0.5721002029784773
1,519,0.5645617192810436
1,535,0.5274368355154245
1,566,0.5283554499373984
1,571,0.5054966805670961
2,173,0.5379605654607906
3,8,0.6904462582745906
3,13,0.5554716780826647
3,26,0.5392264983211708
3,29,0.5539975040799024
3,39,0.5965426731701325
3,79,0.5018923874633221
3,84,0.5562503854055879
3,95,0.6009943667140994
3,99,0.5010197179396952
3,108,0.6065742021507703
3,112,0.5017492534091247
3,128,0.5897833392548335
3,173,0.5734977125164068
3,182,0.5909004534254502
3,185,0.5301686280961749
3,208,0.5031564371213072
3,227,0.5082124110345312
3,230,0.5774146803395032
3,265,0.5457373218745357
3,272,0.5685415590040349
3,273,0.5044639863296091
3,274,0.5438996642718045
3,283,0.5055188109902268
3,285,0.5258883588392383
3,291,0.5656945759322206
3,298,0.625705837662549
3,303,0.6618393729214624
3,306,0.5076820012357713
3,313,0.6022387676581084
3,322,0.5170588192213894
3,323,0.5150333090236264
3,360,0.5635801357898028
3,391,0.58386398333525
3,392,0.5930746464248194
3,393,0.5357757281871945
3,395,0.5923487607398824
3,398,0.6165630254110283
3,404,0.6579952720140576
3,405,0.5198272042140223
3,416,0.5339626839799898
3,417,0.514339832847812
3,467,0.5648429548810506
3,474,0.5298336491218109
3,476,0.5273022260981931
3,478,0.5428340970364106
3,479,0.5090281791270561
3,501,0.503482292709876
3,504,0.5479631199997709
3,508,0.5959813562133509
3,533,0.5438224788808411
3,535,0.553116286362553
3,556,0.5449277209251852
3,557,0.516355941228819
3,559,0.631079594400851
3,566,0.6195416622397191
3,570,0.5722446975076946
3,571,0.58260340841729
3,574,0.5857738199123491
4,289,0.6140985174508536
5,11,0.8774312587201795
5,28,0.5821906565365119
5,31,0.5784069623408018
5,42,0.7089189479422373
5,60,0.5982819585737535
5,77,0.5116543898007883
5,83,0.7057074951345877
5,85,0.6774546959594567
5,89,0.7825984650411301
5,106,0.6493787763197482
5,113,0.6031974495512586
5,126,0.5859949072755001
5,127,0.5687273699937093
5,145,0.5088084523817314
5,157,0.5148701678240406
5,179,0.7415100813210175
5,180,0.5337652228729257
5,206,0.5145425385745052
5,216,0.5522353169763411
5,217,0.7545896447412085
5,221,0.6704039526969484
5,222,0.6035321701021773
5,254,0.5268367596426096
5,257,0.5582562180803772
5,263,0.6069941679390648
5,267,0.6507804271791507
5,280,0.5124735551009746
5,297,0.7173529456033503
5,452,0.5852278495737137
5,462,0.6863594214869378
5,463,0.8282289952026215
5,466,0.6417171840396398
5,509,0.5055230661864509
5,527,0.6207760203414557
5,536,0.5274778227533472
8,11,0.5580119746822326
8,13,0.5942528110640106
8,19,0.5720353411155616
8,39,0.5673859262453368
8,86,0.5317562259224087
8,122,0.5353339684592762
8,124,0.5741293718132873
8,169,0.50341703904377
8,208,0.6003937462318184
8,221,0.5826776563373709
8,225,0.5592900271863913
8,265,0.550053599092625
8,280,0.5243921394986965
8,285,0.6247565232612358
8,291,0.683098329939834
8,297,0.6365463997444882
8,302,0.5460290987297476
8,303,0.6970547041131935
8,304,0.5783811447652069
8,356,0.5042689292350881
8,360,0.5034472713613763
8,361,0.5784724920702732
8,399,0.5177218395159116
8,468,0.5046783322478301
8,533,0.5661752178253309
8,559,0.5232986793439393
8,563,0.5353705926379095
10,39,0.6418325073185073
10,43,0.577533449463381
10,44,0.6009081670683772
10,71,0.5102629202698471
10,72,0.5194877229088356
10,116,0.5668163763098751
10,118,0.5856630937363723
10,146,0.5871931119253294
10,154,0.5210875489187002
10,170,0.5464847804351982
10,201,0.5399205772108445
10,208,0.5348473672693596
10,210,0.5336809251070217
10,234,0.5316279345741118
10,261,0.5547286955520985
10,272,0.5849721379580143
10,274,0.5183926440093022
10,281,0.5844619674095807
10,283,0.5094274060076204
10,285,0.6088613069133811
10,293,0.5089036982882337
10,299,0.627394297324973
10,302,0.5032353224131584
