Node,Label,Network,Hemisphere,Region,Parcel ID,X,Y,Z,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851146,-44.8448841968708,-14.951325505136328,0.12390924956369982,0.004351855879584858,0.10589471307598933,0.3407033051084825
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,-17.159936760338734,0.006980802792321117,1.4144815820079869e-05,0.004023171927066487,0.2580663257864368
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.59200800673188,-41.29417978183737,-10.283588881052816,0.12216404886561955,0.003954261730229486,0.10474682732923725,0.3391332437946185
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,-16.019288191112917,0.0,0.0,1.2107937241443367e-21,0.0
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,-9.040379783276144,0.027923211169284468,0.004636224130103699,0.0024449556241948403,0.2821415229524558
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,-9.434564102792812,0.0,0.0,1.2107937241443367e-21,0.0
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,-9.508002667998277,0.0,0.0,1.2107937241443367e-21,0.0
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,-7.617111413259501,0.11518324607329843,0.025568975745294657,0.07410022656033587,0.3518338513311501
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,-6.07261795439382,0.0017452006980802793,0.0,0.0007359769646421606,0.22830997074487763
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,-10.956274038363318,0.11343804537521815,0.013244076702924984,0.08199130710741677,0.3468589814772925
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,-3.850471242978159,0.055846422338568937,0.034465123402560166,0.005131428851544349,0.3005796347315135
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,-4.926925785677589,0.0,0.0,1.2107937241443367e-21,0.0
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-13.86427903438758,-42.05212429775433,-5.040219351461133,0.11518324607329843,0.014834948371936234,0.04768515223888666,0.34604348230454024
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-44.1073151438074,-72.01780786676841,4.617957248606466,0.03315881326352531,0.011103389073284535,0.011229317413962672,0.2768347858436322
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-6.373891430697881,-61.931462337472,3.311666794729476,0.029668411867364748,0.0019194014568796685,0.01996072082920394,0.30140032997992716
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-2.25887535512446,-70.33466412094624,4.373678718410112,0.0,0.0,1.2107937241443367e-21,0.0
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-16.864375003207257,-55.01371005292507,0.8407680270005784,0.020942408376963352,0.00021925580817880718,0.00663856925500494,0.28579384040167854
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-3.021888943389058,-76.2814865981539,3.787149524937078,0.0,0.0,1.2107937241443367e-21,0.0
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-12.72952516963025,-45.94896369454701,2.033492100084338,0.07678883071553229,0.01055732379622885,0.04159338580725967,0.33400263496262733
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-9.070825221456047,-70.64779695155366,8.505568971830819,0.07155322862129145,0.009912279228701396,0.03304661456034068,0.3251483677618508
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-47.27439540220482,-71.36289164202682,13.999918275597423,0.006980802792321117,0.006159932555322322,0.0006651077899221621,0.22379700122685925
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-19.61369737184242,-62.332047666900834,7.686497854878716,0.06980802792321117,0.011505194258839212,0.015049775469119725,0.318809735321728
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-41.32478232856127,-74.55352894961834,17.519117863095822,0.010471204188481676,0.00011342842041095441,0.004226444242664307,0.26599486953047796
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-0.34706119610928,-73.46269837052871,14.103267398197204,0.05235602094240838,8.206691010247222e-05,0.050810543864085865,0.2949575707552394
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-7.04724255642472,-68.15640180831885,16.381487851250256,0.07853403141361257,0.005285750929173297,0.04094208416026517,0.3265913338909714
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-16.72329256446524,-66.04660263057653,17.117907884446055,0.08202443280977313,0.0017649870985613195,0.05835883145869006,0.3292703082927616
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-2.158948509329619,-75.19926271743172,23.682699170495795,0.0,0.0,1.2107937241443367e-21,0.0
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-29.064816836533808,-75.36198903779898,20.90716652971294,0.029668411867364748,0.0010177615534524675,0.0014313790932927466,0.25958347055884384
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-12.60868853333274,-74.19501421015177,24.148720730787943,0.1518324607329843,0.004449196237298884,0.12793497066649803,0.34096639646377863
30,7Networks_LH_Vis_43,7Networks,LH,Vis,43,-25.24382139625959,-75.4110830067657,23.974533945554867,0.031413612565445025,0.002294333577238466,0.012297675187720273,0.2920314043786993
31,7Networks_LH_Vis_44,7Networks,LH,Vis,44,-13.687926555182344,-76.716895988341,35.198602786850785,0.027923211169284468,0.004118252362304212,0.0006048837044332669,0.2565668119817509
32,7Networks_LH_SomMot_1,7Networks,LH,SomMot,1,-53.50563101175291,0.0599962518437138,-3.4940602258736817,0.029668411867364748,0.0032482808615703434,6.5439122988664136e-06,0.2341206168720007
33,7Networks_LH_SomMot_2,7Networks,LH,SomMot,2,-58.11317137737953,-14.814716531890774,5.868688169554915,0.029668411867364748,0.021961474716946067,0.0003343143917007415,0.270724392042056
